Model,Class,Size,Repeat,Accuracy
NB,4,32,10,0.76
NB,5,32,10,0.4
NB,6,32,10,0.6941176470588235
NB,7,32,10,0.8571428571428571
NB,8,32,10,0.3313253012048193
NB,9,32,10,0.5649717514124294
TAN,0,32,10,0.5459610027855153
TAN,1,32,10,0.9810606060606061
TAN,2,32,10,0.21717171717171718
TAN,3,32,10,0.15060240963855423
TAN,4,32,10,0.46
TAN,5,32,10,0.36875
TAN,6,32,10,0.8294117647058824
TAN,7,32,10,0.8163265306122449
TAN,8,32,10,0.6566265060240963
TAN,9,32,10,0.6214689265536724
Logistic,0,32,10,0.5348189415041783
Logistic,1,32,10,0.7613636363636364
Logistic,2,32,10,0.13636363636363635
Logistic,3,32,10,0.13855421686746988
Logistic,4,32,10,0.105
Logistic,5,32,10,0.05
Logistic,6,32,10,0.18235294117647058
Logistic,7,32,10,0.25170068027210885
Logistic,8,32,10,0.060240963855421686
Logistic,9,32,10,0.2711864406779661
Logistic TAN,0,32,10,0.5766016713091922
Logistic TAN,1,32,10,0.7196969696969697
Logistic TAN,2,32,10,0.24242424242424243
Logistic TAN,3,32,10,0.23493975903614459
Logistic TAN,4,32,10,0.105
Logistic TAN,5,32,10,0.06875
Logistic TAN,6,32,10,0.23529411764705882
Logistic TAN,7,32,10,0.3673469387755102
Logistic TAN,8,32,10,0.0783132530120482
Logistic TAN,9,32,10,0.23163841807909605
NB,0,32,11,0.754874651810585
NB,1,32,11,0.9848484848484849
NB,2,32,11,0.5808080808080808
NB,3,32,11,0.7048192771084337
NB,4,32,11,0.5
NB,5,32,11,0.24375
NB,6,32,11,0.48823529411764705
NB,7,32,11,0.6462585034013606
NB,8,32,11,0.10843373493975904
NB,9,32,11,0.6610169491525424
TAN,0,32,11,0.6629526462395543
TAN,1,32,11,0.9924242424242424
TAN,2,32,11,0.05555555555555555
TAN,3,32,11,0.5
TAN,4,32,11,0.17
TAN,5,32,11,0.21875
TAN,6,32,11,0.3588235294117647
TAN,7,32,11,0.5238095238095238
TAN,8,32,11,0.21686746987951808
TAN,9,32,11,0.5310734463276836
Logistic,0,32,11,0.2200557103064067
Logistic,1,32,11,0.946969696969697
Logistic,2,32,11,0.14646464646464646
Logistic,3,32,11,0.14457831325301204
Logistic,4,32,11,0.11
Logistic,5,32,11,0.0875
Logistic,6,32,11,0.14705882352941177
Logistic,7,32,11,0.10884353741496598
Logistic,8,32,11,0.04819277108433735
Logistic,9,32,11,0.23163841807909605
Logistic TAN,0,32,11,0.2479108635097493
Logistic TAN,1,32,11,0.946969696969697
Logistic TAN,2,32,11,0.18686868686868688
Logistic TAN,3,32,11,0.030120481927710843
Logistic TAN,4,32,11,0.17
Logistic TAN,5,32,11,0.0125
Logistic TAN,6,32,11,0.13529411764705881
Logistic TAN,7,32,11,0.17687074829931973
Logistic TAN,8,32,11,0.0783132530120482
Logistic TAN,9,32,11,0.4293785310734463
NB,0,32,12,0.9415041782729805
NB,1,32,12,0.9772727272727273
NB,2,32,12,0.4494949494949495
NB,3,32,12,0.5783132530120482
NB,4,32,12,0.73
NB,5,32,12,0.2375
NB,6,32,12,0.5294117647058824
NB,7,32,12,0.6394557823129252
NB,8,32,12,0.37349397590361444
NB,9,32,12,0.7288135593220338
TAN,0,32,12,0.6128133704735376
TAN,1,32,12,0.9886363636363636
TAN,2,32,12,0.2222222222222222
TAN,3,32,12,0.3433734939759036
TAN,4,32,12,0.47
TAN,5,32,12,0.70625
TAN,6,32,12,0.38235294117647056
TAN,7,32,12,0.6326530612244898
TAN,8,32,12,0.42771084337349397
TAN,9,32,12,0.6836158192090396
Logistic,0,32,12,0.5626740947075209
Logistic,1,32,12,0.8939393939393939
Logistic,2,32,12,0.24242424242424243
Logistic,3,32,12,0.23493975903614459
Logistic,4,32,12,0.205
Logistic,5,32,12,0.16875
Logistic,6,32,12,0.15294117647058825
Logistic,7,32,12,0.20408163265306123
Logistic,8,32,12,0.08433734939759036
Logistic,9,32,12,0.1864406779661017
Logistic TAN,0,32,12,0.596100278551532
Logistic TAN,1,32,12,0.8863636363636364
Logistic TAN,2,32,12,0.22727272727272727
Logistic TAN,3,32,12,0.18072289156626506
Logistic TAN,4,32,12,0.21
Logistic TAN,5,32,12,0.31875
Logistic TAN,6,32,12,0.17647058823529413
Logistic TAN,7,32,12,0.1360544217687075
Logistic TAN,8,32,12,0.0963855421686747
Logistic TAN,9,32,12,0.21468926553672316
NB,0,32,13,0.7855153203342619
NB,1,32,13,0.9507575757575758
NB,2,32,13,0.5303030303030303
NB,3,32,13,0.46987951807228917
NB,4,32,13,0.675
NB,5,32,13,0.44375
NB,6,32,13,0.7411764705882353
NB,7,32,13,0.891156462585034
NB,8,32,13,0.5662650602409639
NB,9,32,13,0.5028248587570622
TAN,0,32,13,0.3286908077994429
TAN,1,32,13,0.9621212121212122
TAN,2,32,13,0.23232323232323232
TAN,3,32,13,0.4939759036144578
TAN,4,32,13,0.13
TAN,5,32,13,0.31875
TAN,6,32,13,0.6470588235294118
TAN,7,32,13,0.42857142857142855
TAN,8,32,13,0.5903614457831325
TAN,9,32,13,0.672316384180791
Logistic,0,32,13,0.33147632311977715
Logistic,1,32,13,0.8068181818181818
Logistic,2,32,13,0.17676767676767677
Logistic,3,32,13,0.0963855421686747
Logistic,4,32,13,0.075
Logistic,5,32,13,0.0875
Logistic,6,32,13,0.10588235294117647
Logistic,7,32,13,0.2789115646258503
Logistic,8,32,13,0.13253012048192772
Logistic,9,32,13,0.2824858757062147
Logistic TAN,0,32,13,0.38997214484679665
Logistic TAN,1,32,13,0.8712121212121212
Logistic TAN,2,32,13,0.07575757575757576
Logistic TAN,3,32,13,0.13855421686746988
Logistic TAN,4,32,13,0.075
Logistic TAN,5,32,13,0.06875
Logistic TAN,6,32,13,0.08235294117647059
Logistic TAN,7,32,13,0.36054421768707484
Logistic TAN,8,32,13,0.13253012048192772
Logistic TAN,9,32,13,0.2598870056497175
NB,0,32,14,0.8022284122562674
NB,1,32,14,0.9848484848484849
NB,2,32,14,0.6414141414141414
NB,3,32,14,0.8072289156626506
NB,4,32,14,0.435
NB,5,32,14,0.48125
NB,6,32,14,0.7176470588235294
NB,7,32,14,0.6802721088435374
NB,8,32,14,0.3253012048192771
NB,9,32,14,0.7401129943502824
TAN,0,32,14,0.520891364902507
TAN,1,32,14,0.9734848484848485
TAN,2,32,14,0.20707070707070707
TAN,3,32,14,0.536144578313253
TAN,4,32,14,0.49
TAN,5,32,14,0.55625
TAN,6,32,14,0.6470588235294118
TAN,7,32,14,0.7687074829931972
TAN,8,32,14,0.29518072289156627
TAN,9,32,14,0.4463276836158192
Logistic,0,32,14,0.2924791086350975
Logistic,1,32,14,0.875
Logistic,2,32,14,0.14646464646464646
Logistic,3,32,14,0.39156626506024095
Logistic,4,32,14,0.155
Logistic,5,32,14,0.10625
Logistic,6,32,14,0.3176470588235294
Logistic,7,32,14,0.22448979591836735
Logistic,8,32,14,0.07228915662650602
Logistic,9,32,14,0.0903954802259887
Logistic TAN,0,32,14,0.43175487465181056
Logistic TAN,1,32,14,0.9090909090909091
Logistic TAN,2,32,14,0.17676767676767677
Logistic TAN,3,32,14,0.3614457831325301
Logistic TAN,4,32,14,0.18
Logistic TAN,5,32,14,0.05
Logistic TAN,6,32,14,0.3352941176470588
Logistic TAN,7,32,14,0.272108843537415
Logistic TAN,8,32,14,0.07228915662650602
Logistic TAN,9,32,14,0.10734463276836158
NB,0,32,15,0.8189415041782729
NB,1,32,15,0.9772727272727273
NB,2,32,15,0.4090909090909091
NB,3,32,15,0.6867469879518072
NB,4,32,15,0.455
NB,5,32,15,0.375
NB,6,32,15,0.6647058823529411
NB,7,32,15,0.5986394557823129
NB,8,32,15,0.4939759036144578
NB,9,32,15,0.6497175141242938
TAN,0,32,15,0.4958217270194986
TAN,1,32,15,0.9810606060606061
TAN,2,32,15,0.14646464646464646
TAN,3,32,15,0.2469879518072289
TAN,4,32,15,0.315
TAN,5,32,15,0.49375
TAN,6,32,15,0.6058823529411764
TAN,7,32,15,0.673469387755102
TAN,8,32,15,0.6506024096385542
TAN,9,32,15,0.536723163841808
Logistic,0,32,15,0.520891364902507
Logistic,1,32,15,0.7765151515151515
Logistic,2,32,15,0.2676767676767677
Logistic,3,32,15,0.08433734939759036
Logistic,4,32,15,0.28
Logistic,5,32,15,0.15
Logistic,6,32,15,0.23529411764705882
Logistic,7,32,15,0.14285714285714285
Logistic,8,32,15,0.09036144578313253
Logistic,9,32,15,0.13559322033898305
Logistic TAN,0,32,15,0.4401114206128134
Logistic TAN,1,32,15,0.8106060606060606
Logistic TAN,2,32,15,0.1414141414141414
Logistic TAN,3,32,15,0.07228915662650602
Logistic TAN,4,32,15,0.27
Logistic TAN,5,32,15,0.1625
Logistic TAN,6,32,15,0.2411764705882353
Logistic TAN,7,32,15,0.1836734693877551
Logistic TAN,8,32,15,0.1144578313253012
Logistic TAN,9,32,15,0.1016949152542373
NB,0,32,16,0.5682451253481894
NB,1,32,16,0.9886363636363636
NB,2,32,16,0.42424242424242425
NB,3,32,16,0.8132530120481928
NB,4,32,16,0.73
NB,5,32,16,0.33125
NB,6,32,16,0.8529411764705882
NB,7,32,16,0.6938775510204082
NB,8,32,16,0.2469879518072289
NB,9,32,16,0.519774011299435
TAN,0,32,16,0.3955431754874652
TAN,1,32,16,0.9924242424242424
TAN,2,32,16,0.3434343434343434
TAN,3,32,16,0.46987951807228917
TAN,4,32,16,0.43
TAN,5,32,16,0.5625
TAN,6,32,16,0.6
TAN,7,32,16,0.7142857142857143
TAN,8,32,16,0.13855421686746988
TAN,9,32,16,0.5084745762711864
Logistic,0,32,16,0.415041782729805
Logistic,1,32,16,0.7689393939393939
Logistic,2,32,16,0.16161616161616163
Logistic,3,32,16,0.1686746987951807
Logistic,4,32,16,0.235
Logistic,5,32,16,0.05625
Logistic,6,32,16,0.22941176470588234
Logistic,7,32,16,0.14285714285714285
